12356_g	XP_0348914431
52668_g	XP_0348921031
52668_g	XP_0349307131
52668_g	XP_0348939891
52668_g	XP_0349306771
52668_g	XP_0349023401
52668_g	XP_0349030591
52668_g	XP_0349023441
52668_g	XP_0348964591
52668_g	XP_0348964611
52668_g	XP_0348964551
52668_g	XP_0349307121
52668_g	XP_0349004441
52668_g	XP_0349004461
52668_g	XP_0348964561
52668_g	XP_0348921051
52668_g	XP_0349305711
52668_g	XP_0349305721
52668_g	XP_0349073341
52668_g	XP_0349073351
52668_g	XP_0349194761
52668_g	XP_0349194771
52668_g	XP_0349168461
52668_g	XP_0349194751
52668_g	XP_0349168541
52668_g	XP_0349150641
40688_g	XP_0348934821
40688_g	XP_0349169061
40688_g	XP_0349271181
40688_g	XP_0349332971
40688_g	XP_0348914451
40688_g	XP_0349252101
40688_g	XP_0349252121
40688_g	XP_0349024971
40688_g	XP_0349024981
40688_g	XP_0349024991
40688_g	XP_0349025001
40688_g	XP_0349025011
40688_g	XP_0349025021
40688_g	XP_0349025031
40688_g	XP_0349025041
40688_g	XP_0349025051
40688_g	XP_0349025071
40688_g	XP_0349025081
40688_g	XP_0349025091
40688_g	XP_0349025101
40688_g	XP_0349093001
40688_g	XP_0349093141
40688_g	XP_0348914401
40688_g	XP_0349280911
40688_g	XP_0349193771
20339_g	XP_0348998041
20339_g	XP_0348998051
20339_g	XP_0349079691
1528_g	XP_0348985511
1528_g	XP_0349199941
1528_g	XP_0348985481
1528_g	XP_0349257251
1528_g	XP_0349200471
1528_g	XP_0348926351
1528_g	XP_0349257241
1528_g	XP_0348925691
1528_g	XP_0348925701
1528_g	XP_0349181381
1528_g	XP_0349200261
1528_g	XP_0349295771
1528_g	XP_0348926301
1528_g	XP_0349201381
1528_g	XP_0349201461
1528_g	XP_0348925761
1528_g	XP_0349197991
1528_g	XP_0349234751
1528_g	XP_0349234761
1528_g	XP_0349295761
1528_g	XP_0349234781
1528_g	XP_0348968531
1528_g	XP_0349234831
1528_g	XP_0348968871
1528_g	XP_0349284041
48198_g	XP_0348989081
48198_g	XP_0349304761
48198_g	XP_0349304771
48198_g	XP_0349304781
48198_g	XP_0349304791
48198_g	XP_0349304811
48198_g	XP_0349304821
48198_g	XP_0349216491
48198_g	XP_0349216421
48198_g	XP_0349216431
48198_g	XP_0348989131
48198_g	XP_0349221291
48198_g	XP_0349213061
48198_g	XP_0349216451
48198_g	XP_0349216461
48198_g	XP_0349216471
48198_g	XP_0349220891
48198_g	XP_0348874111
48198_g	XP_0348874201
48198_g	XP_0348874271
48198_g	XP_0348874351
48198_g	XP_0348874431
48198_g	XP_0349060891
48198_g	XP_0348963321
48198_g	XP_0348963331
26499_g	XP_0349249951
26499_g	XP_0349235021
26499_g	XP_0348920591
26499_g	XP_0348920601
26499_g	XP_0348876151
